source_page,year,pdf_url,local_path,bytes,sha256
Special_Archive,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/2-27.pdf,Special_Archive/2023/2-27.pdf,35207,042ed7cfedadb3e293f03441b95505fcb3076881ddf354b1953d3248a2c88359
Special_Archive,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/4-11-23-council-min.pdf,Special_Archive/2023/4-11-23-council-min.pdf,3313931,d6babd8a6b18271e0a2422cc2375772a5b5da30f46735e372dfec28b9a8cea03
Special_Archive,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/Special-Council-Meeting-9-18-2023.pdf,Special_Archive/2023/Special-Council-Meeting-9-18-2023.pdf,1125407,b2646d801b4c9303ce3d417533294da1acb67bc792f46fabc042430fc6f741c6
Special_Archive,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/10-16-special.pdf,Special_Archive/2023/10-16-special.pdf,58092,0c0cd5318a6451e9cd8008b18d400d641fa9e71951df16980a96b1b473b919fb
Special_Archive,2022,https://www.commercialpointohio.gov/CPMeetings/Special/2022/January-6-2022.pdf,Special_Archive/2022/January-6-2022.pdf,68345,16cfb9890c745342efbc55a99f0d0738d0e11e08081441ce968b94938d5a5af2
Special_Archive,2022,https://www.commercialpointohio.gov/CPMeetings/Special/2022/1-18-2022.pdf,Special_Archive/2022/1-18-2022.pdf,308316,f88f5ab9a2807897dcf2e0a4962527b8318ea2f359fe115234d2324a14cf5d36
Special_Archive,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/2-22-Special-Meeting.pdf,Special_Archive/2021/2-22-Special-Meeting.pdf,1041816,29a575042c1b325464254bfef9745478b99cebb711068434e19fa8222fbb7746
Special_Archive,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/8-23-2021.pdf,Special_Archive/2021/8-23-2021.pdf,509556,8594bfca5bfe35371c8cc6960ea5550db6625dca9f83319f22d0f42ec63a58c3
Special_Archive,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/9-23-special.pdf,Special_Archive/2021/9-23-special.pdf,65444,be0e475d7614eb800e0c93607864afd4de1bce55c9a2bda9e9637320fdd1d2b9
Special_Archive,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/10-25-2021.pdf,Special_Archive/2021/10-25-2021.pdf,163417,74553b14e75b54a478fd9f7e3a68f951d2cb86dc075923d14343dc761c0affa9
Special_Archive,2021,https://www.commercialpointohio.gov/CPMeetings/Special/2021/11-8-2021.pdf,Special_Archive/2021/11-8-2021.pdf,110178,4bd0219d9f4162c005f49a8c4d522127ab5d5f36610deb08885c4f3eda8ca5d9
